Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
08/08/2023,51,PM2.5,Paradise-Clark,06-007-2003,AQS,2,47,26,51,6
09/08/2023,64,Ozone,Paradise - Airport,06-007-0007,AQS,3,64,44,51,14
10/08/2023,84,Ozone,Paradise - Airport,06-007-0007,AQS,3,84,24,54,10
11/08/2023,39,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,30,7,39,13
12/08/2023,34,Ozone,Paradise-Clark,06-007-2003,AQS,5,34,.,31,8
01/09/2023,36,Ozone,Paradise - Airport,06-007-0007,AQS,5,36,7,22,9
02/09/2023,62,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,39,20,62,20
03/09/2023,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,3,16,8
04/09/2023,50,PM2.5,Paradise - Theater,06-007-2002,AQS,2,43,9,50,9
05/09/2023,47,Ozone,Chico-East Avenue,06-007-0008,AQS,2,47,9,27,8
06/09/2023,58,Ozone,Paradise - Airport,06-007-0007,AQS,2,58,19,34,3
07/09/2023,39,PM2.5,Paradise-Clark,06-007-2003,AQS,2,35,16,39,2
08/09/2023,64,Ozone,Paradise - Airport,06-007-0007,AQS,2,64,47,46,21
09/09/2023,54,Ozone,Paradise - Airport,06-007-0007,AQS,2,54,28,43,8
10/09/2023,50,Ozone,Paradise - Airport,06-007-0007,AQS,2,50,27,33,5
11/09/2023,61,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,31,20,61,23
12/09/2023,61,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,34,.,61,23
01/10/2023,41,Ozone,Paradise - Airport,06-007-0007,AQS,5,41,5,23,11
02/10/2023,58,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,40,13,58,15
03/10/2023,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,2,20,6
04/10/2023,53,PM2.5,Paradise - Theater,06-007-2002,AQS,2,45,13,53,8
05/10/2023,43,Ozone,Chico-East Avenue,06-007-0008,AQS,2,43,16,18,7
06/10/2023,47,Ozone,Paradise - Airport,06-007-0007,AQS,2,47,16,32,4
07/10/2023,43,Ozone,Paradise - Airport,06-007-0007,AQS,2,43,18,36,6
08/10/2023,80,Ozone,Paradise - Airport,06-007-0007,AQS,2,80,46,42,13
09/10/2023,46,Ozone,Paradise-Clark,06-007-2003,AQS,2,46,18,28,8
10/10/2023,40,Ozone,Paradise - Airport,06-007-0007,AQS,2,40,13,15,3
11/10/2023,67,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,31,17,67,19
12/10/2023,96,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,9,25,.,96,18
01/11/2023,38,Ozone,Paradise - Airport,06-007-0007,AQS,2,38,3,17,7
02/11/2023,40,Ozone,Paradise - Airport,06-007-0007,AQS,3,40,6,29,9
03/11/2023,40,Ozone,Paradise - Airport,06-007-0007,AQS,3,40,6,38,8
04/11/2023,39,PM2.5,Paradise - Theater,06-007-2002,AQS,2,34,8,39,3
05/11/2023,49,Ozone,Chico-East Avenue,06-007-0008,AQS,2,49,19,43,6
06/11/2023,46,Ozone,Chico-East Avenue,06-007-0008,AQS,2,46,10,36,3
07/11/2023,71,Ozone,Paradise - Airport,06-007-0007,AQS,2,71,33,46,11
08/11/2023,50,Ozone,Paradise - Airport,06-007-0007,AQS,2,50,31,47,8
09/11/2023,47,Ozone,Paradise-Clark,06-007-2003,AQS,3,47,42,34,16
10/11/2023,32,Ozone,Chico-East Avenue,06-007-0008,AQS,2,32,11,14,8
11/11/2023,86,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,31,30,86,16
12/11/2023,86,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,9,25,.,86,22
01/12/2023,35,Ozone,Paradise - Airport,06-007-0007,AQS,2,35,7,18,8
02/12/2023,43,Ozone,Paradise - Airport,06-007-0007,AQS,5,43,8,41,19
03/12/2023,34,Ozone,Chico-East Avenue,06-007-0008,AQS,3,34,2,17,5
04/12/2023,48,Ozone,Chico-East Avenue,06-007-0008,AQS,2,48,17,16,2
05/12/2023,51,Ozone,Chico-East Avenue,06-007-0008,AQS,2,51,21,45,8
06/12/2023,42,Ozone,Chico-East Avenue,06-007-0008,AQS,2,42,17,37,5
07/12/2023,80,Ozone,Paradise - Airport,06-007-0007,AQS,2,80,37,38,15
08/12/2023,50,Ozone,Paradise - Airport,06-007-0007,AQS,2,50,22,44,8
09/12/2023,50,Ozone,Paradise - Airport,06-007-0007,AQS,5,50,44,44,14
10/12/2023,35,Ozone,Paradise - Airport,06-007-0007,AQS,2,35,16,12,10
11/12/2023,86,PM2.5,Chico-East Avenue,06-007-0008,AQS,11,40,28,86,19
12/12/2023,67,PM2.5,Chico-East Avenue,06-007-0008,AQS,11,35,.,67,24
01/01/2024,69,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,25,19,69,13
02/01/2024,39,Ozone,Chico-East Avenue,06-007-0008,AQS,2,39,1,20,7
03/01/2024,37,Ozone,Paradise-Clark,06-007-2003,AQS,2,37,2,16,5
04/01/2024,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,4,17,6
05/01/2024,44,Ozone,Paradise-Clark,06-007-2003,AQS,1,44,24,18,2
06/01/2024,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,46,17,52,.
07/01/2024,48,PM10,Chico-East Avenue,06-007-0008,AQS,2,48,48,18,22
08/01/2024,88,PM2.5,Chico-East Avenue,06-007-0008,AQS,14,58,45,88,8
09/01/2024,74,Ozone,Paradise-Clark,06-007-2003,AQS,2,74,22,43,3
10/01/2024,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,50,48,52,20
11/01/2024,42,Ozone,Paradise-Clark,06-007-2003,AQS,3,42,14,34,12
12/01/2024,86,PM2.5,Chico-East Avenue,06-007-0008,AQS,10,34,26,86,13
01/02/2024,54,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,9,34,10,54,12
02/02/2024,37,Ozone,Chico-East Avenue,06-007-0008,AQS,2,37,3,13,4
03/02/2024,37,Ozone,Paradise-Clark,06-007-2003,AQS,2,37,1,15,5
04/02/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,8,31,13
05/02/2024,33,Ozone,Chico-East Avenue,06-007-0008,AQS,1,33,15,9,3
06/02/2024,39,Ozone,Chico-East Avenue,06-007-0008,AQS,2,39,9,24,.
07/02/2024,58,Ozone,Paradise-Clark,06-007-2003,AQS,1,58,35,24,7
08/02/2024,172,PM2.5,Chico-East Avenue,06-007-0008,AQS,22,100,79,172,10
09/02/2024,48,Ozone,Paradise-Clark,06-007-2003,AQS,2,48,17,28,6
10/02/2024,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,48,50,52,19
11/02/2024,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,36,9,52,11
12/02/2024,88,PM2.5,Chico-East Avenue,06-007-0008,AQS,13,30,30,88,23
01/03/2024,34,Ozone,Paradise-Clark,06-007-2003,AQS,5,34,6,33,17
02/03/2024,36,Ozone,Chico-East Avenue,06-007-0008,AQS,3,36,4,18,13
03/03/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,2,38,0,16,2
04/03/2024,39,Ozone,Paradise-Clark,06-007-2003,AQS,2,39,9,28,10
05/03/2024,61,Ozone,Chico-East Avenue,06-007-0008,AQS,2,61,19,34,4
06/03/2024,23,Ozone,Chico-East Avenue,06-007-0008,AQS,1,23,10,19,.
07/03/2024,54,Ozone,Chico-East Avenue,06-007-0008,AQS,2,54,31,28,13
08/03/2024,78,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,64,39,78,8
09/03/2024,45,Ozone,Paradise-Clark,06-007-2003,AQS,3,45,27,28,12
10/03/2024,56,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,44,51,56,19
11/03/2024,32,Ozone,Paradise-Clark,06-007-2003,AQS,7,32,5,31,8
12/03/2024,80,PM2.5,Chico-East Avenue,06-007-0008,AQS,10,31,31,80,24
01/04/2024,53,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,30,10,53,15
02/04/2024,35,Ozone,Chico-East Avenue,06-007-0008,AQS,2,35,1,11,3
03/04/2024,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,2,16,4
04/04/2024,41,Ozone,Chico-East Avenue,06-007-0008,AQS,2,41,4,13,4
05/04/2024,43,Ozone,Chico-East Avenue,06-007-0008,AQS,2,43,5,15,2
06/04/2024,31,Ozone,Chico-East Avenue,06-007-0008,AQS,1,31,18,18,.
07/04/2024,71,Ozone,Chico-East Avenue,06-007-0008,AQS,2,71,16,51,5
08/04/2024,62,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,51,21,62,8
09/04/2024,49,Ozone,Paradise-Clark,06-007-2003,AQS,3,49,30,37,14
10/04/2024,61,PM10,Chico-East Avenue,06-007-0008,AQS,5,58,61,56,19
11/04/2024,36,Ozone,Paradise-Clark,06-007-2003,AQS,3,36,6,17,16
12/04/2024,85,PM2.5,Chico-East Avenue,06-007-0008,AQS,11,31,33,85,24
01/05/2024,57,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,29,13,57,13
02/05/2024,34,Ozone,Chico-East Avenue,06-007-0008,AQS,2,34,4,9,4
03/05/2024,36,Ozone,Chico-East Avenue,06-007-0008,AQS,2,36,2,14,5
04/05/2024,39,Ozone,Chico-East Avenue,06-007-0008,AQS,2,39,2,12,6
05/05/2024,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,1,17,4
06/05/2024,33,Ozone,Chico-East Avenue,06-007-0008,AQS,1,33,14,18,7
07/05/2024,78,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,50,20,78,6
08/05/2024,53,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,49,30,53,7
09/05/2024,64,Ozone,Paradise-Clark,06-007-2003,AQS,3,64,37,46,15
10/05/2024,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,44,27,52,14
11/05/2024,39,Ozone,Paradise-Clark,06-007-2003,AQS,3,39,6,15,9
12/05/2024,80,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,29,30,80,22
01/06/2024,61,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,27,14,61,13
02/06/2024,31,Ozone,Chico-East Avenue,06-007-0008,AQS,3,31,4,26,14
03/06/2024,32,Ozone,Chico-East Avenue,06-007-0008,AQS,5,32,3,24,20
04/06/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,3,38,5,19,12
05/06/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,4,26,6
06/06/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,19,33,8
07/06/2024,61,Ozone,Chico-East Avenue,06-007-0008,AQS,2,61,23,51,8
08/06/2024,61,Ozone,Chico-East Avenue,06-007-0008,AQS,3,61,34,58,9
09/06/2024,50,Ozone,Paradise-Clark,06-007-2003,AQS,6,50,31,41,16
10/06/2024,41,Ozone,Paradise-Clark,06-007-2003,AQS,3,41,18,21,18
11/06/2024,39,Ozone,Paradise-Clark,06-007-2003,AQS,3,39,8,17,16
12/06/2024,79,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,31,31,79,.
01/07/2024,57,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,31,10,57,14
02/07/2024,32,Ozone,Chico-East Avenue,06-007-0008,AQS,3,32,3,31,10
03/07/2024,38,Ozone,Paradise-Clark,06-007-2003,AQS,2,38,2,19,8
04/07/2024,41,Ozone,Chico-East Avenue,06-007-0008,AQS,2,41,4,23,10
05/07/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,6,9,2
06/07/2024,63,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,48,26,63,5
07/07/2024,77,Ozone,Chico-East Avenue,06-007-0008,AQS,2,77,17,53,8
08/07/2024,63,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,51,42,63,11
09/07/2024,46,Ozone,Chico-East Avenue,06-007-0008,AQS,2,46,20,18,7
10/07/2024,47,PM10,Chico-East Avenue,06-007-0008,AQS,3,40,47,29,22
11/07/2024,44,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,36,19,44,29
12/07/2024,87,PM2.5,Chico-East Avenue,06-007-0008,AQS,10,29,29,87,14
01/08/2024,63,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,31,16,63,23
02/08/2024,34,PM2.5,Paradise-Clark,06-007-2003,AQS,5,30,3,34,15
03/08/2024,39,Ozone,Chico-East Avenue,06-007-0008,AQS,3,39,5,23,12
04/08/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,7,13,10
05/08/2024,48,Ozone,Chico-East Avenue,06-007-0008,AQS,1,48,6,11,3
06/08/2024,58,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,44,23,58,2
07/08/2024,71,Ozone,Chico-East Avenue,06-007-0008,AQS,2,71,29,57,8
08/08/2024,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,50,51,55,13
09/08/2024,43,Ozone,Paradise-Clark,06-007-2003,AQS,2,43,13,17,10
10/08/2024,39,Ozone,Paradise-Clark,06-007-2003,AQS,5,39,27,37,17
11/08/2024,62,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,41,29,62,29
12/08/2024,58,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,39,10,58,16
01/09/2024,38,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,27,.,38,8
02/09/2024,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,30,9,52,13
03/09/2024,36,Ozone,Chico-East Avenue,06-007-0008,AQS,2,36,4,30,3
04/09/2024,43,Ozone,Paradise-Clark,06-007-2003,AQS,2,43,6,27,9
05/09/2024,37,Ozone,Chico-East Avenue,06-007-0008,AQS,2,37,10,4,6
06/09/2024,57,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,43,17,57,2
07/09/2024,64,Ozone,Chico-East Avenue,06-007-0008,AQS,2,64,26,49,7
08/09/2024,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,49,35,55,10
09/09/2024,43,Ozone,Chico-East Avenue,06-007-0008,AQS,2,43,26,24,6
10/09/2024,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,41,44,52,13
11/09/2024,75,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,43,33,75,21
12/09/2024,53,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,41,15,53,19
01/10/2024,34,Ozone,Paradise-Clark,06-007-2003,AQS,3,34,.,28,8
02/10/2024,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,35,8,52,16
03/10/2024,42,Ozone,Paradise-Clark,06-007-2003,AQS,2,42,4,19,2
04/10/2024,43,Ozone,Chico-East Avenue,06-007-0008,AQS,3,43,13,42,11
05/10/2024,48,Ozone,Chico-East Avenue,06-007-0008,AQS,2,48,13,34,6
06/10/2024,57,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,48,20,57,6
07/10/2024,87,Ozone,Chico-East Avenue,06-007-0008,AQS,2,87,30,52,9
08/10/2024,51,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,48,20,51,5
09/10/2024,49,Ozone,Paradise-Clark,06-007-2003,AQS,2,49,37,30,22
10/10/2024,47,Ozone,Chico-East Avenue,06-007-0008,AQS,3,47,44,46,14
11/10/2024,71,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,47,29,71,12
12/10/2024,80,PM2.5,Chico-East Avenue,06-007-0008,AQS,10,32,34,80,25
01/11/2024,31,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,31,.,31,22
02/11/2024,46,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,32,6,46,15
03/11/2024,40,Ozone,Paradise-Clark,06-007-2003,AQS,2,40,1,16,7
04/11/2024,49,Ozone,Chico-East Avenue,06-007-0008,AQS,3,49,19,47,10
05/11/2024,50,Ozone,Chico-East Avenue,06-007-0008,AQS,2,50,6,28,8
06/11/2024,58,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,54,21,58,13
07/11/2024,74,Ozone,Chico-East Avenue,06-007-0008,AQS,2,74,31,55,12
08/11/2024,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,43,22,52,6
09/11/2024,32,PM2.5,Paradise-Clark,06-007-2003,AirNow,2,32,23,32,6
10/11/2024,47,Ozone,Chico-East Avenue,06-007-0008,AQS,3,47,44,43,12
11/11/2024,39,Ozone,Paradise-Clark,06-007-2003,AQS,3,39,11,33,10
12/11/2024,97,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,10,34,30,97,14
01/12/2024,37,PM2.5,Chico-East Avenue,06-007-0008,AirNow,8,30,.,37,17
02/12/2024,57,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,30,13,57,22
03/12/2024,38,Ozone,Paradise-Clark,06-007-2003,AQS,2,38,3,23,6
04/12/2024,36,Ozone,Paradise-Clark,06-007-2003,AQS,2,36,12,31,4
05/12/2024,61,Ozone,Chico-East Avenue,06-007-0008,AQS,2,61,12,35,5
06/12/2024,67,Ozone,Chico-East Avenue,06-007-0008,AQS,2,67,26,55,8
07/12/2024,74,Ozone,Paradise-Clark,06-007-2003,AQS,3,74,31,51,20
08/12/2024,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,39,34,53,6
09/12/2024,33,Ozone,Chico-East Avenue,06-007-0008,AQS,2,33,19,31,12
10/12/2024,41,Ozone,Paradise-Clark,06-007-2003,AQS,2,41,10,22,8
11/12/2024,40,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,31,10,40,19
12/12/2024,57,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,35,10,57,10
01/13/2018,75,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,25,24,75,15
01/13/2019,60,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,24,18,60,25
01/13/2020,32,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,32,6,32,7
01/13/2021,66,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,32,21,66,9
01/13/2022,76,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,34,30,76,15
01/13/2023,37,Ozone,Paradise - Airport,06-007-0007,AQS,2,37,5,15,8
01/13/2024,33,Ozone,Paradise-Clark,06-007-2003,AQS,5,33,2,15,7
01/14/2018,76,PM2.5,Chico-East Avenue,06-007-0008,AQS,11,26,22,76,8
01/14/2019,59,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,18,19,59,21
01/14/2020,38,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,33,6,38,18
01/14/2021,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,26,17,55,15
01/14/2022,55,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,9,35,19,55,13
01/14/2023,39,Ozone,Paradise - Airport,06-007-0007,AQS,2,39,3,12,3
01/14/2024,34,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,29,6,34,8
01/15/2018,60,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,29,16,60,10
01/15/2019,44,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,31,6,44,15
01/15/2020,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,32,14,55,17
01/15/2021,75,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,8,29,20,75,9
01/15/2022,66,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,34,19,66,15
01/15/2023,38,Ozone,Chico-East Avenue,06-007-0008,AQS,2,38,3,18,3
01/15/2024,58,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,20,12,58,13
01/16/2018,69,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,31,21,69,16
01/16/2019,32,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,32,4,32,4
01/16/2020,38,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,34,5,38,5
01/16/2021,60,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,34,11,60,8
01/16/2022,72,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,31,20,72,15
01/16/2023,34,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,32,6,34,15
01/16/2024,54,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,31,9,54,8
01/17/2018,70,PM2.5,Chico-East Avenue,06-007-0008,AQS,10,20,22,70,.
01/17/2019,44,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,31,10,44,10
01/17/2020,33,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,31,6,33,9
01/17/2021,55,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,38,7,55,9
01/17/2022,73,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,31,24,73,20
01/17/2023,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,31,14,55,15
01/17/2024,29,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,29,4,29,8
01/18/2018,71,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,35,21,71,10
01/18/2019,49,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,31,13,49,13
01/18/2020,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,31,7,53,9
01/18/2021,39,Ozone,Paradise - Airport,06-007-0007,AQS,3,39,10,19,7
01/18/2022,74,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,31,29,74,13
01/18/2023,57,PM2.5,Chico-East Avenue,06-007-0008,AQS,11,33,13,57,13
01/18/2024,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,24,.,53,13
01/19/2018,46,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,38,15,46,12
01/19/2019,44,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,28,10,44,17
01/19/2020,70,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,26,18,70,18
01/19/2021,39,PM10,Chico-East Avenue,06-007-0008,AQS,2,35,39,38,5
01/19/2022,66,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,39,21,66,9
01/19/2023,36,Ozone,Paradise - Airport,06-007-0007,AQS,2,36,3,23,8
01/19/2024,56,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,31,.,56,12
01/20/2018,53,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,37,16,53,18
01/20/2019,43,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,32,8,43,6
01/20/2020,75,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,26,22,75,16
01/20/2021,65,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,32,51,65,23
01/20/2022,70,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,36,26,70,10
01/20/2023,53,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,36,10,53,19
01/20/2024,37,Ozone,Paradise-Clark,06-007-2003,AQS,3,37,.,21,3
01/21/2018,58,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,40,17,58,16
01/21/2019,39,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,31,6,39,15
01/21/2020,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,32,7,53,12
01/21/2021,65,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,34,31,65,22
01/21/2022,50,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,.,19,50,10
01/21/2023,61,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,33,17,61,21
01/21/2024,37,Ozone,Paradise-Clark,06-007-2003,AQS,2,37,.,17,2
01/22/2018,46,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,39,9,46,9
01/22/2019,37,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,26,14,37,20
01/22/2020,34,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,30,6,34,16
01/22/2021,40,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,29,14,40,8
01/22/2022,31,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,.,6,31,11
01/22/2023,45,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,36,6,45,12
01/22/2024,37,Ozone,Paradise-Clark,06-007-2003,AQS,3,37,.,21,9
01/23/2018,56,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,31,18,56,17
01/23/2019,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,26,19,52,20
01/23/2020,58,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,26,15,58,14
01/23/2021,56,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,31,14,56,13
01/23/2022,66,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,.,15,66,10
01/23/2023,39,Ozone,Paradise - Airport,06-007-0007,AQS,6,39,11,38,21
01/23/2024,27,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,27,.,27,15
01/24/2018,62,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,39,16,62,8
01/24/2019,58,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,9,26,17,58,14
01/24/2020,68,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,25,17,68,10
01/24/2021,53,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,29,12,53,12
01/24/2022,71,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,32,24,71,25
01/24/2023,56,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,39,21,56,25
01/24/2024,34,Ozone,Paradise-Clark,06-007-2003,AQS,5,34,.,12,4
01/25/2018,38,Ozone,Paradise - Airport,06-007-0007,AQS,2,38,9,32,6
01/25/2019,70,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,38,21,70,27
01/25/2020,70,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,26,19,70,8
01/25/2021,33,Ozone,Paradise - Airport,06-007-0007,AQS,2,33,6,24,10
01/25/2022,63,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,40,17,63,14
01/25/2023,55,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,33,.,55,25
01/25/2024,32,Ozone,Chico-East Avenue,06-007-0008,AQS,3,32,.,31,8
01/26/2018,56,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,34,16,56,18
01/26/2019,83,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,8,38,27,83,25
01/26/2020,46,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,31,6,46,8
